,tweets,id,len,date,source,likes,retweets,locaion_geo,locaion_coordinates,locaion_place,language,username,user_locaion,user_bio,user_followers_count,user_following_count,user_verified,user_tweeted_count,sentiment
0,I've got two posters at #EASLeiden2020 this year - the first is on the pattern speeds of ~many nearby galaxies (… https://t.co/B6oGJIo9mw,1277495337838665728,137,2020-06-29 06:53:17,Twitter Web App,0,0,,,,en,InappTom,"Heidelberg, Occasionally Birmz","Star Boi. Astronomer and occasional musician. Postdoc @ MPIA, thinking mainly about stars and dust. Opinions (mostly) my own",128,292,False,2878,1
1,"Tweetdeck set up, iPad ready for handwritten notes, I'm prepared  for #EASLeiden2020. Got kissed goodbye by partner… https://t.co/6Iki7r4Xoq",1277495604944547840,140,2020-06-29 06:54:21,TweetDeck,0,0,,,,en,vicgrinberg,"Tübingen (with bits of my heart left in Munich, Amsterdam and Boston)",astrophysicist | junior group leader @uni_tue | language+literature | public speaker #scicomm/#wisskomm | X-rays=💚 | @drremeis⇒@MIT⇒@ESA⇒#IAAT | opinions own,1605,544,False,8369,1
2,"My #EASLeiden2020 ePoster is now public, check it out here: https://t.co/slQt0cgJS3

I'm looking forward to a week… https://t.co/Bhoa4kBWmL",1277495640386199553,139,2020-06-29 06:54:30,Twitter Web App,0,0,,,,en,awattsup_,Perth,"Aussie PhD student @ UWA/ICRAR, studying the neutral hydrogen in space beyblades. Taekwondo, judo, surf lifesaving. He/Him. Opinions own.",219,490,False,322,0
3,"I've also got a talk at #EASLeiden2020 tomorrow afternoon. It's in session S3, on the molecular clouds in early-typ… https://t.co/MpFenTTR7t",1277495821219631105,140,2020-06-29 06:55:13,Twitter Web App,0,0,,,,en,InappTom,"Heidelberg, Occasionally Birmz","Star Boi. Astronomer and occasional musician. Postdoc @ MPIA, thinking mainly about stars and dust. Opinions (mostly) my own",128,292,False,2879,1
4,"Good Morning, 

We @Andra_Stroe @EAS_meeting  warmly welcome you to join the EAS 2020- 'SS3a - Galaxy clusters at r… https://t.co/luTAoJdauE",1277496191924736001,140,2020-06-29 06:56:41,Twitter Web App,0,0,,,,en,mampommier,"Lyon, France","Radio Astronomer,  CRAL-Lyon Observatory Clusters, Galaxies, AGNs, Distant Universe, Radio astronomy, Optical/IR astronomy
SKA, LOFAR, GMRT",63,666,False,441,1
5,Plan for today: Starting with some magnetized accretion and cyclotron lines and then heading over to #ClimateCrisis… https://t.co/03uouDu75M,1277496252150820867,140,2020-06-29 06:56:55,TweetDeck,0,0,,,,en,vicgrinberg,"Tübingen (with bits of my heart left in Munich, Amsterdam and Boston)",astrophysicist | junior group leader @uni_tue | language+literature | public speaker #scicomm/#wisskomm | X-rays=💚 | @drremeis⇒@MIT⇒@ESA⇒#IAAT | opinions own,1605,544,False,8370,0
6,.@EAS_meeting - so is the official hashtag #EASLeiden2020 or #EAS2020 ?,1277496588865359874,71,2020-06-29 06:58:16,Twitter Web App,0,0,,,,en,vicgrinberg,"Tübingen (with bits of my heart left in Munich, Amsterdam and Boston)",astrophysicist | junior group leader @uni_tue | language+literature | public speaker #scicomm/#wisskomm | X-rays=💚 | @drremeis⇒@MIT⇒@ESA⇒#IAAT | opinions own,1605,544,False,8371,0
7,#EASLeiden2020 is starting. See you there everyone! BTW: Here is my poster on [CII] estimations https://t.co/Pxkpn087Ku 😃,1277496824174174208,121,2020-06-29 06:59:12,Twitter Web App,0,0,,,,en,aframosp,"Groningen, Nederland","BSc Physics, MSc Astronomy-Data Science. PhD. Candidate RUG /SRON",126,215,False,620,0
8,"Our first sessions begins soon at 09:00 CEST, and you can find full program here https://t.co/8XjUZHreTN in session… https://t.co/3I4Nw1NYL8",1277497336349036544,140,2020-06-29 07:01:14,Twitter Web App,0,0,,,,en,Astro4Earth,,"Astronomy students, educators, & scientists addressing the climate crisis from the astronomical perspective. Join the conversation with #Astro4Earth!",235,130,False,208,1
9,Excited to be attending/taking part in my first conference today and the rest of this week  Looking forward to some… https://t.co/RhNa7bLGVy,1277497666109349888,140,2020-06-29 07:02:33,Twitter Web App,0,0,,,,en,SJMolyneux,,"Astronomy PhD student at @LJMU_Astro, researching high redshift galaxies and AGN. 
Science Communicator, (Astro)Photography, Wigan Athletic, F1",849,1554,False,15549,1
